English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
---------------------------------------------------------------------------------+----------------+----------------+---------------
'Are'are                                                                         | alu            |                |               
'Auhelawa                                                                        | kud            |                |               
A'ou                                                                             | aou            |                |               
A-Pucikwar                                                                       | apq            |                |               
Aari                                                                             | aiw            |                |               
AasГЎx                                                                            | aas            |                |               
Abadi                                                                            | kbt            |                |               
Abaga                                                                            | abg            |                |               
Abai Sungai                                                                      | abf            |                |               
Abanyom                                                                          | abm            |                |               
Abar                                                                             | mij            |                |               
Abau                                                                             | aau            |                |               
Abaza                                                                            | abq            |                |               
Abellen Ayta                                                                     | abp            |                |               
Abidji                                                                           | abi            |                |               
Abinomn                                                                          | bsa            |                |               
Abkhazian                                                                        | abk            | abk            | ab            
Abom                                                                             | aob            |                |               
Abon                                                                             | abo            |                |               
Abron                                                                            | abr            |                |               
Abu                                                                              | ado            |                |               
Abu' Arapesh                                                                     | aah            |                |               
Abua                                                                             | abn            |                |               
Abui                                                                             | abz            |                |               
Abun                                                                             | kgr            |                |               
Abure                                                                            | abu            |                |               
Abureni                                                                          | mgj            |                |               
AbГ©                                                                              | aba            |                |               
Acatepec Me'phaa                                                                 | tpx            |                |               
Achagua                                                                          | aca            |                |               
Achang                                                                           | acn            |                |               
Ache                                                                             | yif            |                |               
Acheron                                                                          | acz            |                |               
Achi                                                                             | acr            |                |               
Achinese                                                                         | ace            | ace            |               
Achterhoeks                                                                      | act            |                |               
Achuar-Shiwiar                                                                   | acu            |                |               
Achumawi                                                                         | acv            |                |               
AchГ©                                                                             | guq            |                |               
Acoli                                                                            | ach            | ach            |               
Adamawa Fulfulde                                                                 | fub            |                |               
Adamorobe Sign Language                                                          | ads            |                |               
Adang                                                                            | adn            |                |               
Adangbe                                                                          | adq            |                |               
Adangme                                                                          | ada            | ada            |               
Adara                                                                            | kad            |                |               
Adasen                                                                           | tiu            |                |               
Adele                                                                            | ade            |                |               
Adhola                                                                           | adh            |                |               
Adi                                                                              | adi            |                |               
Adilabad Gondi                                                                   | wsg            |                |               
Adioukrou                                                                        | adj            |                |               
Adivasi Oriya                                                                    | ort            |                |               
Adiwasi Garasia                                                                  | gas            |                |               
Adnyamathanha                                                                    | adt            |                |               
Adonara                                                                          | adr            |                |               
Aduge                                                                            | adu            |                |               
Adyghe                                                                           | ady            | ady            |               
Adzera                                                                           | adz            |                |               
Aeka                                                                             | aez            |                |               
Aekyom                                                                           | awi            |                |               
Aer                                                                              | aeq            |                |               
Afade                                                                            | aal            |                |               
Afar                                                                             | aar            | aar            | aa            
Afghan Sign Language                                                             | afg            |                |               
Afitti                                                                           | aft            |                |               
Afrihili                                                                         | afh            | afh            |               
Afrikaans                                                                        | afr            | afr            | af            
Afro-Asiatic languages                                                           | afa            | afa            |               
Afro-Seminole Creole                                                             | afs            |                |               
Agarabi                                                                          | agd            |                |               
Agariya                                                                          | agi            |                |               
Agatu                                                                            | agc            |                |               
Aghem                                                                            | agq            |                |               
Aghu                                                                             | ahh            |                |               
Aghul                                                                            | agx            |                |               
Agi                                                                              | aif            |                |               
Agob                                                                             | kit            |                |               
Agoi                                                                             | ibm            |                |               
Aguacateco                                                                       | agu            |                |               
Aguaruna                                                                         | agr            |                |               
Aguna                                                                            | aug            |                |               
Agusan Manobo                                                                    | msm            |                |               
Agutaynen                                                                        | agn            |                |               
Agwagwune                                                                        | yay            |                |               
Ahanta                                                                           | aha            |                |               
Aheri Gondi                                                                      | esg            |                |               
Aheu                                                                             | thm            |                |               
Ahirani                                                                          | ahr            |                |               
Ahtena                                                                           | aht            |                |               
Ahwai                                                                            | nfd            |                |               
Ai-Cham                                                                          | aih            |                |               
Aighon                                                                           | aix            |                |               
AikanГЈ                                                                           | tba            |                |               
Aiklep                                                                           | mwg            |                |               
Aimaq                                                                            | aiq            |                |               
Aimele                                                                           | ail            |                |               
Aimol                                                                            | aim            |                |               
Ainbai                                                                           | aic            |                |               
Ainu (China)                                                                     | aib            |                |               
Ainu (Japan)                                                                     | ain            | ain            |               
Aiome                                                                            | aki            |                |               
Airoran                                                                          | air            |                |               
Aiton                                                                            | aio            |                |               
Aja (Benin)                                                                      | ajg            |                |               
Aja (South Sudan)                                                                | aja            |                |               
AjiГ«                                                                             | aji            |                |               
Ajumbu                                                                           | muc            |                |               
AjyГ­ninka Apurucayali                                                            | cpc            |                |               
Ak                                                                               | akq            |                |               
Aka                                                                              | soh            |                |               
Akan                                                                             | aka            | aka            | ak            
Akaselem                                                                         | aks            |                |               
Akawaio                                                                          | ake            |                |               
Ake                                                                              | aik            |                |               
Akebu                                                                            | keu            |                |               
Akei                                                                             | tsr            |                |               
Akeu                                                                             | aeu            |                |               
Akha                                                                             | ahk            |                |               
Akhvakh                                                                          | akv            |                |               
Akkadian                                                                         | akk            | akk            |               
Aklanon                                                                          | akl            |                |               
Akolet                                                                           | akt            |                |               
Akoose                                                                           | bss            |                |               
Akoye                                                                            | miw            |                |               
Akpa                                                                             | akf            |                |               
Akpes                                                                            | ibe            |                |               
Akrukay                                                                          | afi            |                |               
Akukem                                                                           | spm            |                |               
Akuku                                                                            | ayk            |                |               
Akum                                                                             | aku            |                |               
Akuntsu                                                                          | aqz            |                |               
Akurio                                                                           | ako            |                |               
Akwa                                                                             | akw            |                |               
Akyaung Ari Naga                                                                 | nqy            |                |               
Al-Sayyid Bedouin Sign Language                                                  | syy            |                |               
Alaba-KвЂ™abeena                                                                   | alw            |                |               
Alabama                                                                          | akz            |                |               
Alabat Island Agta                                                               | dul            |                |               
Alacalufan languages                                                             | aqa            |                |               
Alacatlatzala Mixtec                                                             | mim            |                |               
Alago                                                                            | ala            |                |               
Alagwa                                                                           | wbj            |                |               
Alak                                                                             | alk            |                |               
Alamblak                                                                         | amp            |                |               
Alangan                                                                          | alj            |                |               
Alawa                                                                            | alh            |                |               
Albanian Sign Language                                                           | sqk            |                |               
Albanian languages                                                               | sqj            |                |               
Albanian                                                                         | alb            | alb            | sq            
Alcozauca Mixtec                                                                 | xta            |                |               
Alege                                                                            | alf            |                |               
Alekano                                                                          | gah            |                |               
Aleut                                                                            | ale            | ale            |               
Algerian Arabic                                                                  | arq            |                |               
Algerian Saharan Arabic                                                          | aao            |                |               
Algerian Sign Language                                                           | asp            |                |               
Algic languages                                                                  | aql            |                |               
Algonquian languages                                                             | alg            | alg            |               
Algonquin                                                                        | alq            |                |               
Ali                                                                              | aiy            |                |               
Alladian                                                                         | ald            |                |               
Allar                                                                            | all            |                |               
Alo Phola                                                                        | ypo            |                |               
Alor                                                                             | aol            |                |               
AloГЎpam Zapotec                                                                  | zaq            |                |               
Altaic languages                                                                 | tut            | tut            |               
Alu Kurumba                                                                      | xua            |                |               
Alugu                                                                            | aub            |                |               
Alumu-Tesu                                                                       | aab            |                |               
Alune                                                                            | alp            |                |               
Aluo                                                                             | yna            |                |               
Alur                                                                             | alz            |                |               
Alutor                                                                           | alr            |                |               
Alviri-Vidari                                                                    | avd            |                |               
Alyawarr                                                                         | aly            |                |               
Ama (Papua New Guinea)                                                           | amm            |                |               
Ama (Sudan)                                                                      | nyi            |                |               
Amahai                                                                           | amq            |                |               
Amahuaca                                                                         | amc            |                |               
Amaimon                                                                          | ali            |                |               
Amal                                                                             | aad            |                |               
Amami Koniya Sign Language                                                       | jks            |                |               
Amanab                                                                           | amn            |                |               
Amara                                                                            | aie            |                |               
Amarakaeri                                                                       | amr            |                |               
Amarasi                                                                          | aaz            |                |               
AmatlГЎn Zapotec                                                                  | zpo            |                |               
Amba (Solomon Islands)                                                           | utp            |                |               
Amba (Uganda)                                                                    | rwm            |                |               
Ambai                                                                            | amk            |                |               
Ambakich                                                                         | aew            |                |               
Ambala Ayta                                                                      | abc            |                |               
Ambelau                                                                          | amv            |                |               
Ambele                                                                           | ael            |                |               
Amblong                                                                          | alm            |                |               
Ambo                                                                             | amb            |                |               
Ambo-Pasco Quechua                                                               | qva            |                |               
Ambonese Malay                                                                   | abs            |                |               
Ambrak                                                                           | aag            |                |               
Ambul                                                                            | apo            |                |               
Ambulas                                                                          | abt            |                |               
Amdang                                                                           | amj            |                |               
Amdo Tibetan                                                                     | adx            |                |               
Amele                                                                            | aey            |                |               
American Sign Language                                                           | ase            |                |               
Amganad Ifugao                                                                   | ifa            |                |               
Amharic                                                                          | amh            | amh            | am            
Ami                                                                              | amy            |                |               
Amis                                                                             | ami            |                |               
Amo                                                                              | amo            |                |               
Amol                                                                             | alx            |                |               
Amoltepec Mixtec                                                                 | mbz            |                |               
Ampanang                                                                         | apg            |                |               
Ampari Dogon                                                                     | aqd            |                |               
Amri Karbi                                                                       | ajz            |                |               
Amto                                                                             | amt            |                |               
Amundava                                                                         | adw            |                |               
Amurdak                                                                          | amg            |                |               
Ana Tinga Dogon                                                                  | dti            |                |               
Anaang                                                                           | anw            |                |               
Anakalangu                                                                       | akg            |                |               
Anal                                                                             | anm            |                |               
Anam                                                                             | pda            |                |               
AnambГ©                                                                           | aan            |                |               
Anamgura                                                                         | imi            |                |               
Anasi                                                                            | bpo            |                |               
Andaandi                                                                         | dgl            |                |               
Andai                                                                            | afd            |                |               
Andajin                                                                          | ajn            |                |               
Andaman Creole Hindi                                                             | hca            |                |               
Andarum                                                                          | aod            |                |               
Andegerebinha                                                                    | adg            |                |               
Andh                                                                             | anr            |                |               
Andi                                                                             | ani            |                |               
Andio                                                                            | bzb            |                |               
Andoque                                                                          | ano            |                |               
Andra-Hus                                                                        | anx            |                |               
Aneityum                                                                         | aty            |                |               
Anem                                                                             | anz            |                |               
Aneme Wake                                                                       | aby            |                |               
Anfillo                                                                          | myo            |                |               
Angaataha                                                                        | agm            |                |               
AngaitГ©                                                                          | aqt            |                |               
Angal Enen                                                                       | aoe            |                |               
Angal Heneng                                                                     | akh            |                |               
Angal                                                                            | age            |                |               
Angami Naga                                                                      | njm            |                |               
Angguruk Yali                                                                    | yli            |                |               
Angika                                                                           | anp            | anp            |               
Angloromani                                                                      | rme            |                |               
Angolar                                                                          | aoa            |                |               
Angor                                                                            | agg            |                |               
Angoram                                                                          | aog            |                |               
Angosturas Tunebo                                                                | tnd            |                |               
Ani Phowa                                                                        | ypn            |                |               
Anii                                                                             | blo            |                |               
Animere                                                                          | anf            |                |               
Anindilyakwa                                                                     | aoi            |                |               
Aninka                                                                           | aqk            |                |               
Anjam                                                                            | boj            |                |               
Ankave                                                                           | aak            |                |               
Anmatyerre                                                                       | amx            |                |               
Anong                                                                            | nun            |                |               
Anor                                                                             | anj            |                |               
Ansus                                                                            | and            |                |               
Antakarinya                                                                      | ant            |                |               
Antankarana Malagasy                                                             | xmv            |                |               
Antigua and Barbuda Creole English                                               | aig            |                |               
Anu-Hkongso Chin                                                                 | anl            |                |               
Anuak                                                                            | anu            |                |               
Anufo                                                                            | cko            |                |               
Anuki                                                                            | aui            |                |               
Anus                                                                             | auq            |                |               
Anuta                                                                            | aud            |                |               
Anyin Morofo                                                                     | mtb            |                |               
Anyin                                                                            | any            |                |               
Ao Naga                                                                          | njo            |                |               
Aoheng                                                                           | pni            |                |               
Ap Ma                                                                            | kbx            |                |               
Apache languages                                                                 | apa            | apa            |               
ApalaГ­                                                                           | apy            |                |               
Apali                                                                            | ena            |                |               
Apasco-Apoala Mixtec                                                             | mip            |                |               
Apatani                                                                          | apt            |                |               
ApiakГЎ                                                                           | api            |                |               
ApinayГ©                                                                          | apn            |                |               
Apma                                                                             | app            |                |               
Aproumu Aizi                                                                     | ahp            |                |               
ApurinГЈ                                                                          | apu            |                |               
Aputai                                                                           | apx            |                |               
Arabela                                                                          | arl            |                |               
Arabic                                                                           | ara            | ara            | ar            
Aragonese                                                                        | arg            | arg            | an            
Araki                                                                            | akr            |                |               
Aralle-Tabulahan                                                                 | atq            |                |               
Arammba                                                                          | stk            |                |               
Aranadan                                                                         | aaf            |                |               
Arandai                                                                          | jbj            |                |               
Araona                                                                           | aro            |                |               
Arapaho                                                                          | arp            | arp            |               
Arauan languages                                                                 | auf            |                |               
Arawak                                                                           | arw            | arw            |               
Arawakan languages                                                               | awd            |                |               
ArawetГ©                                                                          | awt            |                |               
Arawum                                                                           | awm            |                |               
Arbore                                                                           | arv            |                |               
ArbГ«reshГ« Albanian                                                               | aae            |                |               
Archi                                                                            | aqc            |                |               
Are                                                                              | mwc            |                |               
Arem                                                                             | aem            |                |               
Arequipa-La UniГіn Quechua                                                        | qxu            |                |               
Argentine Sign Language                                                          | aed            |                |               
Argobba                                                                          | agj            |                |               
Arguni                                                                           | agf            |                |               
Arhuaco                                                                          | arh            |                |               
ArhГў                                                                             | aqr            |                |               
ArhГ¶                                                                             | aok            |                |               
Ari                                                                              | aac            |                |               
Aribwaung                                                                        | ylu            |                |               
Arifama-Miniafia                                                                 | aai            |                |               
Arigidi                                                                          | aqg            |                |               
ArikapГє                                                                          | ark            |                |               
Arikara                                                                          | ari            |                |               
Aringa                                                                           | luc            |                |               
Armenian (family)                                                                | hyx            |                |               
Armenian Sign Language                                                           | aen            |                |               
Armenian                                                                         | arm            | arm            | hy            
Arop-Lokep                                                                       | apr            |                |               
Arop-Sissano                                                                     | aps            |                |               
Arosi                                                                            | aia            |                |               
Arpitan                                                                          | frp            |                |               
Arta                                                                             | atz            |                |               
Artificial languages                                                             | art            | art            |               
Aruamu                                                                           | msy            |                |               
Aruek                                                                            | aur            |                |               
Aruop                                                                            | lsr            |                |               
Arutani                                                                          | atx            |                |               
AruГЎ (Rodonia State)                                                             | arx            |                |               
